date,raw,baseline,robust_z,stat_outlier,april_capped,event_capped,clean
2026-06-03,0.0,1.0,-0.28,False,False,False,0.0
2026-06-04,0.0,1.0,-0.28,False,False,False,0.0
2026-06-05,0.0,1.0,-0.28,False,False,False,0.0
2026-06-06,0.0,1.0,-0.28,False,False,False,0.0
2026-06-07,0.0,1.0,-0.28,False,False,False,0.0
2026-06-08,0.0,1.0,-0.28,False,False,False,0.0
2026-06-09,0.0,1.0,-0.28,False,False,False,0.0
2026-06-10,25.0,25.0,-0.28,False,False,False,25.0
2026-06-11,69.0,47.0,320.06,True,False,False,47.0
2026-06-12,61.0,24.0,773.94,True,False,False,24.0
2026-06-13,40.0,12.0,967.24,True,False,False,12.0
2026-06-14,40.0,7.0,1390.52,True,False,False,7.0
2026-06-15,51.0,11.0,1216.3,True,False,False,11.0
2026-06-16,53.0,10.0,1388.04,True,False,False,10.0
2026-06-17,53.0,27.0,540.92,True,False,False,27.0
2026-06-18,60.0,60.0,1.77,False,False,False,60.0
2026-06-19,36.0,36.0,1.25,False,False,False,36.0
2026-06-20,31.0,31.0,0.65,False,False,False,31.0
2026-06-21,16.0,16.0,0.0,False,False,False,16.0
2026-06-22,55.0,55.0,-0.67,False,False,False,55.0
2026-06-23,56.0,56.0,-1.37,False,False,False,56.0
