date,raw,baseline,robust_z,stat_outlier,april_capped,event_capped,clean
2026-01-06,0.0,1.0,0.49,False,False,False,0.0
2026-01-07,0.0,1.0,-0.03,False,False,False,0.0
2026-01-08,0.0,1.0,0.12,False,False,False,0.0
2026-01-09,0.0,1.0,-0.04,False,False,False,0.0
2026-01-10,0.0,1.0,0.27,False,False,False,0.0
2026-01-11,0.0,1.0,-0.38,False,False,False,0.0
2026-01-12,0.0,1.0,-0.44,False,False,False,0.0
2026-01-13,13.0,3.0,6.97,True,False,False,3.0
2026-01-14,21.0,5.0,6.62,True,False,False,5.0
2026-01-15,15.0,4.0,5.68,True,False,False,4.0
2026-01-16,11.0,6.0,2.91,False,False,False,11.0
2026-01-17,12.0,5.0,3.82,False,False,False,12.0
2026-01-18,14.0,11.0,1.17,False,False,False,14.0
2026-01-19,14.0,13.0,0.51,False,False,False,14.0
2026-01-20,13.0,15.0,-0.55,False,False,False,13.0
2026-01-21,22.0,21.0,0.39,False,False,False,22.0
2026-01-22,11.0,11.0,0.01,False,False,False,11.0
2026-01-23,15.0,15.0,0.26,False,False,False,15.0
2026-01-24,4.0,8.0,-2.64,False,False,False,4.0
2026-01-25,12.0,12.0,0.17,False,False,False,12.0
2026-01-26,12.0,12.0,-0.02,False,False,False,12.0
2026-01-27,9.0,11.0,-0.63,False,False,False,9.0
2026-01-28,18.0,18.0,0.09,False,False,False,18.0
2026-01-29,2.0,10.0,-6.91,True,False,False,10.0
2026-01-30,8.0,15.0,-2.46,False,False,False,8.0
2026-01-31,5.0,5.0,0.0,False,False,False,5.0
2026-02-01,14.0,14.0,0.2,False,False,False,14.0
2026-02-02,17.0,17.0,0.15,False,False,False,17.0
2026-02-03,14.0,12.0,0.65,False,False,False,14.0
2026-02-04,18.0,19.0,-0.05,False,False,False,18.0
2026-02-05,5.0,11.0,-3.28,False,False,False,5.0
2026-02-06,16.0,14.0,0.68,False,False,False,16.0
2026-02-07,7.0,7.0,0.2,False,False,False,7.0
2026-02-08,13.0,12.0,0.61,False,False,False,13.0
2026-02-09,17.0,17.0,0.23,False,False,False,17.0
2026-02-10,8.0,11.0,-1.13,False,False,False,8.0
2026-02-11,5.0,13.0,-4.13,True,False,False,13.0
2026-02-12,16.0,9.0,2.84,False,False,False,16.0
2026-02-13,8.0,10.0,-0.97,False,False,False,8.0
2026-02-14,9.0,7.0,1.45,False,False,False,9.0
2026-02-15,8.0,10.0,-0.68,False,False,False,8.0
2026-02-16,17.0,17.0,0.07,False,False,False,17.0
2026-02-17,16.0,11.0,1.77,False,False,False,16.0
2026-02-18,13.0,13.0,0.28,False,False,False,13.0
2026-02-19,9.0,9.0,0.14,False,False,False,9.0
2026-02-20,11.0,10.0,0.68,False,False,False,11.0
2026-02-21,7.0,6.0,0.56,False,False,False,7.0
2026-02-22,4.0,9.0,-3.5,False,False,False,4.0
2026-02-23,17.0,15.0,0.59,False,False,False,17.0
2026-02-24,8.0,10.0,-0.67,False,False,False,8.0
2026-02-25,8.0,9.0,-0.31,False,False,False,8.0
2026-02-26,4.0,8.0,-2.75,False,False,False,4.0
2026-02-27,6.0,7.0,-0.82,False,False,False,6.0
