date,raw,baseline,robust_z,stat_outlier,april_capped,event_capped,clean
2025-08-19,78.0,75.0,0.21,False,False,False,78.0
2025-08-20,84.0,81.0,0.2,False,False,False,84.0
2025-08-21,96.0,95.0,-0.03,False,False,False,96.0
2025-08-22,108.0,106.0,0.02,False,False,False,108.0
2025-08-23,59.0,65.0,-0.88,False,False,False,59.0
2025-08-24,36.0,37.0,-0.36,False,False,False,36.0
2025-08-25,70.0,74.0,-0.53,False,False,False,70.0
2025-08-26,65.0,70.0,-0.76,False,False,False,65.0
2025-08-27,68.0,77.0,-1.18,False,False,False,68.0
2025-08-28,86.0,92.0,-0.7,False,False,False,86.0
2025-08-29,68.0,107.0,-3.9,False,False,False,68.0
2025-08-30,78.0,72.0,0.53,False,False,False,78.0
2025-08-31,46.0,45.0,0.14,False,False,False,46.0
2025-09-01,98.0,95.0,0.18,False,False,False,98.0
2025-09-02,93.0,92.0,-0.06,False,False,False,93.0
2025-09-03,104.0,98.0,0.4,False,False,False,104.0
2025-09-04,126.0,110.0,1.05,False,False,False,126.0
2025-09-05,114.0,120.0,-0.56,False,False,False,114.0
2025-09-06,82.0,80.0,0.07,False,False,False,82.0
2025-09-07,69.0,48.0,2.85,False,False,False,69.0
2025-09-08,100.0,99.0,-0.03,False,False,False,100.0
2025-09-09,93.0,94.0,-0.17,False,False,False,93.0
2025-09-10,87.0,96.0,-0.91,False,False,False,87.0
2025-09-11,98.0,103.0,-0.55,False,False,False,98.0
2025-09-12,111.0,111.0,-0.11,False,False,False,111.0
2025-09-13,82.0,75.0,0.61,False,False,False,82.0
2025-09-14,49.0,48.0,0.0,False,False,False,49.0
2025-09-15,114.0,100.0,0.96,False,False,False,114.0
2025-09-16,97.0,97.0,-0.1,False,False,False,97.0
2025-09-17,99.0,96.0,0.11,False,False,False,99.0
2025-09-18,91.0,96.0,-0.52,False,False,False,91.0
2025-09-19,106.0,98.0,0.54,False,False,False,106.0
2025-09-20,52.0,64.0,-1.85,False,False,False,52.0
2025-09-21,59.0,43.0,2.5,False,False,False,59.0
2025-09-22,77.0,87.0,-1.16,False,False,False,77.0
2025-09-23,89.0,86.0,0.13,False,False,False,89.0
2025-09-24,65.0,86.0,-2.44,False,False,False,65.0
2025-09-25,90.0,85.0,0.35,False,False,False,90.0
2025-09-26,83.0,86.0,-0.36,False,False,False,83.0
2025-09-27,53.0,58.0,-0.84,False,False,False,53.0
2025-09-28,40.0,44.0,-0.84,False,False,False,40.0
2025-09-29,91.0,86.0,0.35,False,False,False,91.0
2025-09-30,92.0,94.0,-0.24,False,False,False,92.0
2025-10-01,101.0,95.0,0.43,False,False,False,101.0
2025-10-02,93.0,98.0,-0.54,False,False,False,93.0
2025-10-03,91.0,88.0,0.13,False,False,False,91.0
2025-10-04,69.0,64.0,0.53,False,False,False,69.0
2025-10-05,55.0,49.0,0.78,False,False,False,55.0
2025-10-06,90.0,91.0,-0.24,False,False,False,90.0
2025-10-07,101.0,101.0,-0.11,False,False,False,101.0
2025-10-08,90.0,91.0,-0.22,False,False,False,90.0
2025-10-09,100.0,98.0,0.09,False,False,False,100.0
2025-10-10,76.0,80.0,-0.57,False,False,False,76.0
2025-10-11,85.0,59.0,2.95,False,False,False,85.0
2025-10-12,47.0,46.0,0.02,False,False,False,47.0
2025-10-13,85.0,77.0,0.71,False,False,False,85.0
2025-10-14,90.0,93.0,-0.35,False,False,False,90.0
2025-10-15,94.0,72.0,2.07,False,False,False,94.0
2025-10-16,88.0,87.0,-0.01,False,False,False,88.0
2025-10-17,62.0,71.0,-1.24,False,False,False,62.0
2025-10-18,51.0,50.0,0.13,False,False,False,51.0
2025-10-19,39.0,42.0,-0.77,False,False,False,39.0
2025-10-20,62.0,63.0,-0.29,False,False,False,62.0
2025-10-21,92.0,87.0,0.36,False,False,False,92.0
2025-10-22,61.0,65.0,-0.62,False,False,False,61.0
2025-10-23,84.0,85.0,-0.16,False,False,False,84.0
2025-10-24,76.0,77.0,-0.18,False,False,False,76.0
2025-10-25,47.0,50.0,-0.68,False,False,False,47.0
2025-10-26,24.0,49.0,-6.11,True,False,False,49.0
2025-10-27,65.0,68.0,-0.49,False,False,False,65.0
2025-10-28,109.0,110.0,-0.18,False,False,False,109.0
2025-10-29,76.0,87.0,-1.26,False,False,False,76.0
2025-10-30,83.0,115.0,-2.84,False,False,False,83.0
2025-10-31,132.0,118.0,0.85,False,False,False,132.0
2025-11-01,104.0,75.0,2.67,False,False,False,104.0
2025-11-02,86.0,80.0,0.48,False,False,False,86.0
2025-11-03,100.0,108.0,-0.75,False,False,False,100.0
2025-11-04,171.0,161.0,0.37,False,False,False,171.0
2025-11-05,153.0,139.0,0.71,False,False,False,153.0
2025-11-06,160.0,157.0,0.07,False,False,False,160.0
2025-11-07,167.0,156.0,0.47,False,False,False,167.0
2025-11-08,92.0,94.0,-0.26,False,False,False,92.0
2025-11-09,91.0,103.0,-1.12,False,False,False,91.0
2025-11-10,220.0,123.0,4.75,True,False,False,123.0
2025-11-11,159.0,153.0,0.19,False,False,False,159.0
2025-11-12,157.0,147.0,0.46,False,False,False,157.0
2025-11-13,151.0,150.0,-0.05,False,False,False,151.0
2025-11-14,140.0,147.0,-0.54,False,False,False,140.0
2025-11-15,95.0,101.0,-0.62,False,False,False,95.0
2025-11-16,65.0,111.0,-4.62,True,False,False,111.0
2025-11-17,140.0,130.0,0.54,False,False,False,140.0
2025-11-18,130.0,143.0,-0.93,False,False,False,130.0
2025-11-19,151.0,147.0,0.1,False,False,False,151.0
2025-11-20,123.0,145.0,-1.51,False,False,False,123.0
2025-11-21,125.0,141.0,-1.15,False,False,False,125.0
2025-11-22,80.0,114.0,-3.08,False,False,False,80.0
2025-11-23,60.0,121.0,-5.99,False,False,False,60.0
2025-11-24,96.0,131.0,-2.72,False,False,False,96.0
2025-11-25,119.0,128.0,-0.7,False,False,False,119.0
2025-11-26,105.0,128.0,-1.79,False,False,False,105.0
2025-11-27,43.0,123.0,-8.92,False,False,False,43.0
2025-11-28,129.0,118.0,0.65,False,False,False,129.0
2025-11-29,100.0,107.0,-0.65,False,False,False,100.0
2025-11-30,83.0,110.0,-2.48,False,False,False,83.0
2025-12-01,162.0,107.0,3.34,False,False,False,162.0
2025-12-02,142.0,103.0,2.54,False,False,False,142.0
2025-12-03,114.0,102.0,0.83,False,False,False,114.0
2025-12-04,132.0,99.0,2.33,False,False,False,132.0
2025-12-05,172.0,96.0,4.81,False,False,False,172.0
2025-12-06,144.0,93.0,3.59,False,False,False,144.0
2025-12-07,106.0,90.0,1.26,False,False,False,106.0
2025-12-08,155.0,87.0,4.68,False,False,False,155.0
2025-12-09,182.0,85.0,6.27,False,False,False,182.0
2025-12-10,163.0,83.0,5.58,False,False,False,163.0
2025-12-11,184.0,80.0,6.83,False,False,True,177.0
2025-12-12,161.0,78.0,5.94,False,False,False,161.0
2025-12-13,116.0,76.0,3.43,False,False,False,116.0
2025-12-14,97.0,74.0,2.17,False,False,False,97.0
2025-12-15,159.0,72.0,6.57,False,False,True,158.0
2025-12-16,167.0,69.0,7.24,False,False,True,153.0
2025-12-17,135.0,67.0,5.75,False,False,False,135.0
2025-12-18,162.0,66.0,7.39,False,False,True,146.0
2025-12-19,149.0,64.0,6.92,False,False,True,141.0
2025-12-20,102.0,63.0,3.95,False,False,False,102.0
2025-12-21,75.0,60.0,1.81,False,False,False,75.0
2025-12-22,150.0,58.0,7.85,False,False,True,128.0
2025-12-23,156.0,57.0,8.31,False,False,True,126.0
2025-12-24,120.0,53.0,6.76,False,False,True,116.0
2025-12-25,116.0,58.0,5.78,False,False,False,116.0
2025-12-26,147.0,53.0,8.36,False,False,True,118.0
2025-12-27,92.0,52.0,4.64,False,False,False,92.0
2025-12-28,59.0,45.0,2.1,False,False,False,59.0
2025-12-29,98.0,51.0,5.31,False,False,False,98.0
2025-12-30,114.0,53.0,6.32,False,False,False,114.0
2025-12-31,70.0,49.0,2.91,False,False,False,70.0
2026-01-01,44.0,63.0,-3.17,False,False,False,44.0
2026-01-02,105.0,61.0,4.38,True,False,False,61.0
2026-01-03,65.0,63.0,0.18,False,False,False,65.0
2026-01-04,42.0,52.0,-1.89,False,False,False,42.0
2026-01-05,101.0,71.0,2.88,False,False,False,101.0
2026-01-06,83.0,74.0,0.81,False,False,False,83.0
2026-01-07,113.0,70.0,3.9,False,False,False,113.0
2026-01-08,101.0,93.0,0.55,False,False,False,101.0
2026-01-09,83.0,86.0,-0.44,False,False,False,83.0
2026-01-10,79.0,78.0,-0.03,False,False,False,79.0
2026-01-11,55.0,55.0,-0.1,False,False,False,55.0
2026-01-12,90.0,81.0,0.77,False,False,False,90.0
2026-01-13,81.0,80.0,-0.04,False,False,False,81.0
2026-01-14,68.0,75.0,-0.93,False,False,False,68.0
2026-01-15,94.0,93.0,0.02,False,False,False,94.0
2026-01-16,91.0,82.0,0.8,False,False,False,91.0
2026-01-17,50.0,67.0,-2.53,False,False,False,50.0
2026-01-18,42.0,45.0,-0.6,False,False,False,42.0
2026-01-19,69.0,71.0,-0.32,False,False,False,69.0
2026-01-20,68.0,70.0,-0.31,False,False,False,68.0
2026-01-21,79.0,73.0,0.56,False,False,False,79.0
2026-01-22,73.0,82.0,-1.03,False,False,False,73.0
2026-01-23,75.0,75.0,-0.08,False,False,False,75.0
2026-01-24,59.0,60.0,-0.22,False,False,False,59.0
2026-01-25,40.0,42.0,-0.46,False,False,False,40.0
