date,total,US-CH-EN,US-PH-EN,CA-CH-EN,CA-PH-EN,US-EM-EN,US-PH-SP,CA-PH-FR,CA-EM-EN,CA-CH-FR,CA-EM-FR
2025-08-19,2500.0,0.0,1888.0,0.0,487.0,0.0,78.0,47.0,0.0,0.0,0.0
2025-08-20,2211.0,0.0,1678.0,0.0,409.0,0.0,84.0,40.0,0.0,0.0,0.0
2025-08-21,2123.0,0.0,1598.0,0.0,386.0,0.0,96.0,43.0,0.0,0.0,0.0
2025-08-22,2153.0,0.0,1583.0,0.0,419.0,0.0,108.0,43.0,0.0,0.0,0.0
2025-08-23,1806.0,0.0,1384.0,0.0,350.0,0.0,59.0,13.0,0.0,0.0,0.0
2025-08-24,1374.0,0.0,1103.0,0.0,221.0,0.0,36.0,14.0,0.0,0.0,0.0
2025-08-25,2335.0,0.0,1705.0,0.0,524.0,0.0,70.0,36.0,0.0,0.0,0.0
2025-08-26,2000.0,0.0,1428.0,0.0,462.0,0.0,65.0,45.0,0.0,0.0,0.0
2025-08-27,2139.0,0.0,1575.0,0.0,440.0,0.0,68.0,56.0,0.0,0.0,0.0
2025-08-28,2144.0,0.0,1575.0,0.0,452.0,0.0,86.0,31.0,0.0,0.0,0.0
2025-08-29,2224.0,0.0,1644.0,0.0,491.0,0.0,68.0,21.0,0.0,0.0,0.0
2025-08-30,1930.0,0.0,1461.0,0.0,371.0,0.0,78.0,20.0,0.0,0.0,0.0
2025-08-31,1467.0,0.0,1124.0,0.0,275.0,0.0,46.0,22.0,0.0,0.0,0.0
2025-09-01,1766.0,0.0,1379.0,0.0,272.0,0.0,98.0,17.0,0.0,0.0,0.0
2025-09-02,2313.0,0.0,1727.0,0.0,452.0,0.0,93.0,41.0,0.0,0.0,0.0
2025-09-03,2364.0,0.0,1698.0,0.0,519.0,0.0,104.0,43.0,0.0,0.0,0.0
2025-09-04,3730.0,0.0,2707.0,0.0,840.0,0.0,126.0,57.0,0.0,0.0,0.0
2025-09-05,3358.0,0.0,2444.0,0.0,750.0,0.0,114.0,50.0,0.0,0.0,0.0
2025-09-06,2572.0,0.0,1955.0,0.0,514.0,0.0,82.0,21.0,0.0,0.0,0.0
2025-09-07,2342.0,0.0,1780.0,0.0,470.0,0.0,69.0,23.0,0.0,0.0,0.0
2025-09-08,2906.0,0.0,2122.0,0.0,640.0,0.0,100.0,44.0,0.0,0.0,0.0
2025-09-09,2730.0,0.0,2000.0,0.0,586.0,0.0,93.0,51.0,0.0,0.0,0.0
2025-09-10,2674.0,0.0,2050.0,0.0,486.0,0.0,87.0,51.0,0.0,0.0,0.0
2025-09-11,2827.0,0.0,2091.0,0.0,593.0,0.0,98.0,45.0,0.0,0.0,0.0
2025-09-12,2604.0,0.0,1939.0,0.0,506.0,0.0,111.0,48.0,0.0,0.0,0.0
2025-09-13,2255.0,0.0,1756.0,0.0,391.0,0.0,82.0,26.0,0.0,0.0,0.0
2025-09-14,1755.0,0.0,1371.0,0.0,319.0,0.0,49.0,16.0,0.0,0.0,0.0
2025-09-15,2757.0,0.0,2067.0,0.0,522.0,0.0,114.0,54.0,0.0,0.0,0.0
2025-09-16,2363.0,0.0,1743.0,0.0,486.0,0.0,97.0,37.0,0.0,0.0,0.0
2025-09-17,2203.0,0.0,1690.0,0.0,387.0,0.0,99.0,27.0,0.0,0.0,0.0
2025-09-18,2202.0,0.0,1696.0,0.0,380.0,0.0,91.0,35.0,0.0,0.0,0.0
2025-09-19,2338.0,0.0,1830.0,0.0,365.0,0.0,106.0,37.0,0.0,0.0,0.0
2025-09-20,1700.0,0.0,1358.0,0.0,264.0,0.0,52.0,26.0,0.0,0.0,0.0
2025-09-21,1359.0,0.0,1048.0,0.0,230.0,0.0,59.0,22.0,0.0,0.0,0.0
2025-09-22,2161.0,0.0,1646.0,0.0,405.0,0.0,77.0,33.0,0.0,0.0,0.0
2025-09-23,2239.0,0.0,1692.0,0.0,410.0,0.0,89.0,48.0,0.0,0.0,0.0
2025-09-24,2002.0,0.0,1575.0,0.0,338.0,0.0,65.0,24.0,0.0,0.0,0.0
