date,forecast,lower_80,upper_80,event_factor
2026-06-24,864.0,652.0,1076.0,1.0
2026-06-25,869.0,642.0,1095.0,1.0
2026-06-26,902.0,662.0,1142.0,1.0
2026-06-27,607.0,353.0,860.0,1.0
2026-06-28,510.0,245.0,776.0,1.0
2026-06-29,837.0,559.0,1114.0,1.0
2026-06-30,946.0,657.0,1235.0,1.0
2026-07-01,852.0,553.0,1152.0,1.0
2026-07-02,857.0,547.0,1167.0,1.0
2026-07-03,891.0,570.0,1211.0,1.0
2026-07-04,595.0,265.0,925.0,1.0
2026-07-05,499.0,159.0,838.0,1.0
2026-07-06,825.0,476.0,1174.0,1.0
2026-07-07,934.0,576.0,1292.0,1.0
2026-07-08,841.0,474.0,1208.0,1.0
2026-07-09,846.0,470.0,1221.0,1.0
2026-07-10,879.0,495.0,1263.0,1.0
2026-07-11,584.0,191.0,976.0,1.0
2026-07-12,487.0,87.0,888.0,1.0
2026-07-13,814.0,406.0,1222.0,1.0
2026-07-14,923.0,507.0,1339.0,1.0
2026-07-15,1161.0,568.0,1754.0,1.4
2026-07-16,1168.0,565.0,1772.0,1.4
2026-07-17,1215.0,601.0,1828.0,1.4
2026-07-18,801.0,177.0,1425.0,1.4
2026-07-19,666.0,32.0,1300.0,1.4
2026-07-20,1123.0,479.0,1767.0,1.4
2026-07-21,1276.0,623.0,1929.0,1.4
2026-07-22,1145.0,482.0,1808.0,1.4
2026-07-23,1152.0,480.0,1824.0,1.4
2026-07-24,1198.0,517.0,1880.0,1.4
2026-07-25,785.0,94.0,1476.0,1.4
2026-07-26,464.0,0.0,964.0,1.0
2026-07-27,791.0,284.0,1297.0,1.0
2026-07-28,900.0,387.0,1412.0,1.0
2026-07-29,806.0,288.0,1325.0,1.0
2026-07-30,811.0,286.0,1336.0,1.0
2026-07-31,845.0,314.0,1376.0,1.0
2026-08-01,549.0,12.0,1086.0,1.0
2026-08-02,453.0,0.0,996.0,1.0
2026-08-03,779.0,230.0,1328.0,1.0
2026-08-04,888.0,334.0,1443.0,1.0
2026-08-05,795.0,235.0,1355.0,1.0
2026-08-06,800.0,234.0,1366.0,1.0
2026-08-07,833.0,261.0,1405.0,1.0
2026-08-08,538.0,0.0,1115.0,1.0
2026-08-09,441.0,0.0,1024.0,1.0
2026-08-10,768.0,179.0,1356.0,1.0
2026-08-11,877.0,283.0,1471.0,1.0
2026-08-12,783.0,184.0,1382.0,1.0
2026-08-13,788.0,184.0,1393.0,1.0
2026-08-14,822.0,212.0,1431.0,1.0
2026-08-15,526.0,0.0,1141.0,1.0
2026-08-16,430.0,0.0,1050.0,1.0
2026-08-17,756.0,131.0,1381.0,1.0
2026-08-18,865.0,235.0,1496.0,1.0
2026-08-19,772.0,137.0,1407.0,1.0
2026-08-20,777.0,136.0,1417.0,1.0
2026-08-21,810.0,165.0,1455.0,1.0
2026-08-22,515.0,0.0,1165.0,1.0
2026-08-23,418.0,0.0,1074.0,1.0
2026-08-24,745.0,85.0,1405.0,1.0
2026-08-25,854.0,189.0,1519.0,1.0
2026-08-26,760.0,91.0,1430.0,1.0
2026-08-27,765.0,91.0,1440.0,1.0
2026-08-28,799.0,119.0,1478.0,1.0
2026-08-29,503.0,0.0,1187.0,1.0
2026-08-30,407.0,0.0,1095.0,1.0
2026-08-31,733.0,40.0,1426.0,1.0
2026-09-01,842.0,145.0,1540.0,1.0
2026-09-02,749.0,46.0,1451.0,1.0
2026-09-03,754.0,47.0,1461.0,1.0
2026-09-04,787.0,76.0,1499.0,1.0
2026-09-05,492.0,0.0,1207.0,1.0
2026-09-06,395.0,0.0,1116.0,1.0
2026-09-07,722.0,0.0,1447.0,1.0
2026-09-08,831.0,102.0,1560.0,1.0
2026-09-09,737.0,4.0,1471.0,1.0
2026-09-10,742.0,4.0,1480.0,1.0
2026-09-11,776.0,33.0,1518.0,1.0
2026-09-12,480.0,0.0,1227.0,1.0
2026-09-13,384.0,0.0,1135.0,1.0
2026-09-14,710.0,0.0,1465.0,1.0
2026-09-15,819.0,60.0,1579.0,1.0
2026-09-16,726.0,0.0,1490.0,1.0
2026-09-17,731.0,0.0,1499.0,1.0
2026-09-18,764.0,0.0,1536.0,1.0
2026-09-19,469.0,0.0,1245.0,1.0
2026-09-20,372.0,0.0,1153.0,1.0
2026-09-21,699.0,0.0,1483.0,1.0
