date,forecast,lower_80,upper_80,event_factor
2026-06-24,27.0,7.0,48.0,1.0
2026-06-25,60.0,38.0,82.0,1.0
2026-06-26,36.0,13.0,59.0,1.0
2026-06-27,31.0,6.0,56.0,1.0
2026-06-28,16.0,0.0,42.0,1.0
2026-06-29,55.0,28.0,82.0,1.0
2026-06-30,56.0,28.0,84.0,1.0
2026-07-01,27.0,0.0,56.0,1.0
2026-07-02,60.0,30.0,90.0,1.0
2026-07-03,36.0,5.0,67.0,1.0
2026-07-04,31.0,0.0,63.0,1.0
2026-07-05,16.0,0.0,49.0,1.0
2026-07-06,55.0,21.0,89.0,1.0
2026-07-07,56.0,21.0,91.0,1.0
2026-07-08,27.0,0.0,63.0,1.0
2026-07-09,60.0,24.0,96.0,1.0
2026-07-10,36.0,0.0,73.0,1.0
2026-07-11,31.0,0.0,69.0,1.0
2026-07-12,16.0,0.0,55.0,1.0
2026-07-13,55.0,15.0,95.0,1.0
2026-07-14,56.0,16.0,96.0,1.0
2026-07-15,38.0,0.0,96.0,1.4
2026-07-16,84.0,26.0,142.0,1.4
2026-07-17,50.0,0.0,110.0,1.4
2026-07-18,43.0,0.0,104.0,1.4
2026-07-19,22.0,0.0,84.0,1.4
2026-07-20,77.0,15.0,139.0,1.4
2026-07-21,78.0,15.0,142.0,1.4
2026-07-22,38.0,0.0,102.0,1.4
2026-07-23,84.0,19.0,149.0,1.4
2026-07-24,50.0,0.0,116.0,1.4
2026-07-25,43.0,0.0,110.0,1.4
2026-07-26,16.0,0.0,64.0,1.0
2026-07-27,55.0,6.0,104.0,1.0
2026-07-28,56.0,6.0,106.0,1.0
2026-07-29,27.0,0.0,77.0,1.0
2026-07-30,60.0,9.0,111.0,1.0
2026-07-31,36.0,0.0,87.0,1.0
2026-08-01,31.0,0.0,83.0,1.0
2026-08-02,16.0,0.0,69.0,1.0
2026-08-03,55.0,2.0,108.0,1.0
2026-08-04,56.0,2.0,110.0,1.0
2026-08-05,27.0,0.0,81.0,1.0
2026-08-06,60.0,5.0,115.0,1.0
2026-08-07,36.0,0.0,91.0,1.0
2026-08-08,31.0,0.0,87.0,1.0
2026-08-09,16.0,0.0,72.0,1.0
2026-08-10,55.0,0.0,112.0,1.0
2026-08-11,56.0,0.0,113.0,1.0
2026-08-12,27.0,0.0,85.0,1.0
2026-08-13,60.0,1.0,119.0,1.0
2026-08-14,36.0,0.0,95.0,1.0
2026-08-15,31.0,0.0,91.0,1.0
2026-08-16,16.0,0.0,76.0,1.0
2026-08-17,55.0,0.0,116.0,1.0
2026-08-18,56.0,0.0,117.0,1.0
2026-08-19,27.0,0.0,89.0,1.0
2026-08-20,60.0,0.0,120.0,1.0
2026-08-21,36.0,0.0,98.0,1.0
2026-08-22,31.0,0.0,94.0,1.0
2026-08-23,16.0,0.0,79.0,1.0
2026-08-24,55.0,0.0,119.0,1.0
2026-08-25,56.0,0.0,120.0,1.0
2026-08-26,27.0,0.0,92.0,1.0
2026-08-27,60.0,0.0,120.0,1.0
2026-08-28,36.0,0.0,102.0,1.0
2026-08-29,31.0,0.0,97.0,1.0
2026-08-30,16.0,0.0,83.0,1.0
2026-08-31,55.0,0.0,120.0,1.0
2026-09-01,56.0,0.0,120.0,1.0
2026-09-02,27.0,0.0,95.0,1.0
2026-09-03,60.0,0.0,120.0,1.0
2026-09-04,36.0,0.0,105.0,1.0
2026-09-05,31.0,0.0,100.0,1.0
2026-09-06,16.0,0.0,86.0,1.0
2026-09-07,55.0,0.0,120.0,1.0
2026-09-08,56.0,0.0,120.0,1.0
2026-09-09,27.0,0.0,98.0,1.0
2026-09-10,60.0,0.0,120.0,1.0
2026-09-11,36.0,0.0,108.0,1.0
2026-09-12,31.0,0.0,103.0,1.0
2026-09-13,16.0,0.0,89.0,1.0
2026-09-14,55.0,0.0,120.0,1.0
2026-09-15,56.0,0.0,120.0,1.0
2026-09-16,27.0,0.0,101.0,1.0
2026-09-17,60.0,0.0,120.0,1.0
2026-09-18,36.0,0.0,111.0,1.0
2026-09-19,31.0,0.0,106.0,1.0
2026-09-20,16.0,0.0,92.0,1.0
2026-09-21,55.0,0.0,120.0,1.0
