date,forecast,lower_80,upper_80,event_factor
2026-06-24,39.0,27.0,51.0,1.0
2026-06-25,32.0,19.0,45.0,1.0
2026-06-26,17.0,3.0,31.0,1.0
2026-06-27,33.0,18.0,47.0,1.0
2026-06-28,34.0,18.0,49.0,1.0
2026-06-29,31.0,15.0,47.0,1.0
2026-06-30,47.0,30.0,63.0,1.0
2026-07-01,39.0,22.0,56.0,1.0
2026-07-02,33.0,15.0,50.0,1.0
2026-07-03,17.0,0.0,36.0,1.0
2026-07-04,33.0,14.0,52.0,1.0
2026-07-05,34.0,15.0,54.0,1.0
2026-07-06,31.0,11.0,51.0,1.0
2026-07-07,47.0,26.0,68.0,1.0
2026-07-08,40.0,19.0,61.0,1.0
2026-07-09,33.0,11.0,55.0,1.0
2026-07-10,18.0,0.0,40.0,1.0
2026-07-11,33.0,11.0,56.0,1.0
2026-07-12,34.0,11.0,57.0,1.0
2026-07-13,31.0,8.0,55.0,1.0
2026-07-14,47.0,23.0,71.0,1.0
2026-07-15,56.0,22.0,90.0,1.4
2026-07-16,47.0,12.0,81.0,1.4
2026-07-17,25.0,0.0,61.0,1.4
2026-07-18,47.0,11.0,83.0,1.4
2026-07-19,49.0,12.0,85.0,1.4
2026-07-20,45.0,8.0,82.0,1.4
2026-07-21,67.0,29.0,104.0,1.4
2026-07-22,57.0,18.0,95.0,1.4
2026-07-23,47.0,9.0,86.0,1.4
2026-07-24,26.0,0.0,65.0,1.4
2026-07-25,48.0,8.0,88.0,1.4
2026-07-26,35.0,6.0,64.0,1.0
2026-07-27,32.0,3.0,61.0,1.0
2026-07-28,48.0,19.0,78.0,1.0
2026-07-29,41.0,11.0,71.0,1.0
2026-07-30,34.0,4.0,64.0,1.0
2026-07-31,19.0,0.0,49.0,1.0
2026-08-01,35.0,4.0,65.0,1.0
2026-08-02,36.0,4.0,67.0,1.0
2026-08-03,33.0,1.0,64.0,1.0
2026-08-04,48.0,17.0,80.0,1.0
2026-08-05,41.0,9.0,73.0,1.0
2026-08-06,34.0,2.0,67.0,1.0
2026-08-07,19.0,0.0,52.0,1.0
2026-08-08,35.0,2.0,68.0,1.0
2026-08-09,36.0,2.0,69.0,1.0
2026-08-10,33.0,0.0,67.0,1.0
2026-08-11,49.0,15.0,83.0,1.0
2026-08-12,42.0,7.0,76.0,1.0
2026-08-13,35.0,0.0,70.0,1.0
2026-08-14,20.0,0.0,55.0,1.0
2026-08-15,35.0,0.0,71.0,1.0
2026-08-16,36.0,1.0,72.0,1.0
2026-08-17,33.0,0.0,69.0,1.0
2026-08-18,49.0,13.0,85.0,1.0
2026-08-19,42.0,5.0,78.0,1.0
2026-08-20,35.0,0.0,72.0,1.0
2026-08-21,20.0,0.0,57.0,1.0
2026-08-22,36.0,0.0,73.0,1.0
2026-08-23,37.0,0.0,74.0,1.0
2026-08-24,34.0,0.0,72.0,1.0
2026-08-25,50.0,11.0,88.0,1.0
2026-08-26,42.0,4.0,81.0,1.0
2026-08-27,36.0,0.0,74.0,1.0
2026-08-28,20.0,0.0,59.0,1.0
2026-08-29,36.0,0.0,75.0,1.0
2026-08-30,37.0,0.0,77.0,1.0
2026-08-31,34.0,0.0,74.0,1.0
2026-09-01,50.0,10.0,90.0,1.0
2026-09-02,43.0,2.0,83.0,1.0
2026-09-03,36.0,0.0,77.0,1.0
2026-09-04,21.0,0.0,62.0,1.0
2026-09-05,36.0,0.0,78.0,1.0
2026-09-06,37.0,0.0,79.0,1.0
2026-09-07,35.0,0.0,76.0,1.0
2026-09-08,50.0,8.0,92.0,1.0
2026-09-09,43.0,1.0,85.0,1.0
2026-09-10,36.0,0.0,79.0,1.0
2026-09-11,21.0,0.0,64.0,1.0
2026-09-12,37.0,0.0,80.0,1.0
2026-09-13,38.0,0.0,81.0,1.0
2026-09-14,35.0,0.0,78.0,1.0
2026-09-15,51.0,7.0,94.0,1.0
2026-09-16,43.0,0.0,87.0,1.0
2026-09-17,37.0,0.0,81.0,1.0
2026-09-18,21.0,0.0,66.0,1.0
2026-09-19,37.0,0.0,82.0,1.0
2026-09-20,38.0,0.0,83.0,1.0
2026-09-21,35.0,0.0,80.0,1.0
