date,forecast,lower_80,upper_80
2026-06-24,1.0,0.0,3.0
2026-06-25,1.0,0.0,3.0
2026-06-26,3.0,1.0,5.0
2026-06-27,0.0,0.0,2.0
2026-06-28,0.0,0.0,2.0
2026-06-29,1.0,0.0,4.0
2026-06-30,1.0,0.0,4.0
2026-07-01,1.0,0.0,4.0
2026-07-02,1.0,0.0,4.0
2026-07-03,3.0,0.0,6.0
2026-07-04,0.0,0.0,3.0
2026-07-05,0.0,0.0,3.0
2026-07-06,1.0,0.0,4.0
2026-07-07,1.0,0.0,4.0
2026-07-08,1.0,0.0,4.0
2026-07-09,1.0,0.0,5.0
2026-07-10,3.0,0.0,7.0
2026-07-11,0.0,0.0,4.0
2026-07-12,0.0,0.0,4.0
2026-07-13,1.0,0.0,5.0
2026-07-14,1.0,0.0,5.0
2026-07-15,1.0,0.0,5.0
2026-07-16,1.0,0.0,5.0
2026-07-17,3.0,0.0,7.0
2026-07-18,0.0,0.0,4.0
2026-07-19,0.0,0.0,4.0
2026-07-20,1.0,0.0,5.0
2026-07-21,1.0,0.0,5.0
2026-07-22,1.0,0.0,5.0
2026-07-23,1.0,0.0,6.0
