date,forecast,lower_80,upper_80
2026-06-24,392.0,315.0,468.0
2026-06-25,432.0,351.0,513.0
2026-06-26,360.0,274.0,447.0
2026-06-27,255.0,164.0,346.0
2026-06-28,195.0,100.0,290.0
2026-06-29,382.0,282.0,481.0
2026-06-30,413.0,310.0,517.0
2026-07-01,392.0,284.0,499.0
2026-07-02,432.0,320.0,543.0
2026-07-03,360.0,246.0,475.0
2026-07-04,255.0,136.0,373.0
2026-07-05,195.0,73.0,317.0
2026-07-06,382.0,256.0,507.0
2026-07-07,413.0,285.0,542.0
2026-07-08,392.0,260.0,523.0
2026-07-09,432.0,297.0,566.0
2026-07-10,360.0,223.0,498.0
2026-07-11,255.0,114.0,395.0
2026-07-12,195.0,51.0,339.0
2026-07-13,382.0,235.0,528.0
2026-07-14,413.0,264.0,563.0
2026-07-15,392.0,239.0,544.0
2026-07-16,432.0,277.0,586.0
2026-07-17,360.0,203.0,518.0
2026-07-18,255.0,95.0,415.0
2026-07-19,195.0,33.0,358.0
2026-07-20,382.0,216.0,547.0
2026-07-21,413.0,246.0,581.0
2026-07-22,392.0,222.0,561.0
2026-07-23,432.0,259.0,604.0
