date,forecast,lower_80,upper_80,event_factor
2026-06-24,42.0,29.0,54.0,1.0
2026-06-25,43.0,30.0,56.0,1.0
2026-06-26,44.0,30.0,58.0,1.0
2026-06-27,26.0,11.0,40.0,1.0
2026-06-28,21.0,6.0,36.0,1.0
2026-06-29,42.0,26.0,58.0,1.0
2026-06-30,45.0,28.0,61.0,1.0
2026-07-01,42.0,24.0,59.0,1.0
2026-07-02,43.0,25.0,60.0,1.0
2026-07-03,44.0,26.0,63.0,1.0
2026-07-04,26.0,7.0,45.0,1.0
2026-07-05,21.0,1.0,41.0,1.0
2026-07-06,42.0,22.0,62.0,1.0
2026-07-07,45.0,24.0,65.0,1.0
2026-07-08,41.0,20.0,63.0,1.0
2026-07-09,42.0,21.0,64.0,1.0
2026-07-10,44.0,22.0,66.0,1.0
2026-07-11,26.0,3.0,48.0,1.0
2026-07-12,21.0,0.0,44.0,1.0
2026-07-13,42.0,18.0,65.0,1.0
2026-07-14,45.0,21.0,69.0,1.0
2026-07-15,58.0,24.0,92.0,1.4
2026-07-16,59.0,25.0,94.0,1.4
2026-07-17,62.0,26.0,97.0,1.4
2026-07-18,36.0,0.0,72.0,1.4
2026-07-19,29.0,0.0,66.0,1.4
2026-07-20,58.0,21.0,96.0,1.4
2026-07-21,62.0,25.0,100.0,1.4
2026-07-22,58.0,19.0,96.0,1.4
2026-07-23,59.0,20.0,98.0,1.4
2026-07-24,61.0,22.0,101.0,1.4
2026-07-25,36.0,0.0,75.0,1.4
2026-07-26,21.0,0.0,50.0,1.0
2026-07-27,42.0,12.0,71.0,1.0
2026-07-28,44.0,15.0,74.0,1.0
2026-07-29,41.0,11.0,71.0,1.0
2026-07-30,42.0,12.0,72.0,1.0
2026-07-31,44.0,13.0,74.0,1.0
2026-08-01,25.0,0.0,56.0,1.0
2026-08-02,21.0,0.0,52.0,1.0
2026-08-03,42.0,10.0,73.0,1.0
2026-08-04,44.0,12.0,76.0,1.0
2026-08-05,41.0,9.0,73.0,1.0
2026-08-06,42.0,9.0,75.0,1.0
2026-08-07,44.0,11.0,77.0,1.0
2026-08-08,25.0,0.0,59.0,1.0
2026-08-09,21.0,0.0,54.0,1.0
2026-08-10,41.0,8.0,75.0,1.0
2026-08-11,44.0,10.0,78.0,1.0
2026-08-12,41.0,6.0,75.0,1.0
2026-08-13,42.0,7.0,77.0,1.0
2026-08-14,44.0,8.0,79.0,1.0
2026-08-15,25.0,0.0,61.0,1.0
2026-08-16,21.0,0.0,56.0,1.0
2026-08-17,41.0,5.0,77.0,1.0
2026-08-18,44.0,8.0,80.0,1.0
2026-08-19,41.0,4.0,77.0,1.0
2026-08-20,42.0,5.0,79.0,1.0
2026-08-21,44.0,6.0,81.0,1.0
2026-08-22,25.0,0.0,63.0,1.0
2026-08-23,21.0,0.0,58.0,1.0
2026-08-24,41.0,3.0,79.0,1.0
2026-08-25,44.0,6.0,82.0,1.0
2026-08-26,41.0,2.0,79.0,1.0
2026-08-27,42.0,3.0,81.0,1.0
2026-08-28,43.0,4.0,83.0,1.0
2026-08-29,25.0,0.0,65.0,1.0
2026-08-30,21.0,0.0,60.0,1.0
2026-08-31,41.0,1.0,81.0,1.0
2026-09-01,44.0,4.0,84.0,1.0
2026-09-02,41.0,0.0,81.0,1.0
2026-09-03,42.0,1.0,82.0,1.0
2026-09-04,43.0,2.0,84.0,1.0
2026-09-05,25.0,0.0,66.0,1.0
2026-09-06,21.0,0.0,62.0,1.0
2026-09-07,41.0,0.0,83.0,1.0
2026-09-08,44.0,2.0,86.0,1.0
2026-09-09,41.0,0.0,83.0,1.0
2026-09-10,42.0,0.0,84.0,1.0
2026-09-11,43.0,0.0,86.0,1.0
2026-09-12,25.0,0.0,68.0,1.0
2026-09-13,21.0,0.0,64.0,1.0
2026-09-14,41.0,0.0,85.0,1.0
2026-09-15,44.0,0.0,88.0,1.0
2026-09-16,40.0,0.0,85.0,1.0
2026-09-17,42.0,0.0,86.0,1.0
2026-09-18,43.0,0.0,88.0,1.0
2026-09-19,25.0,0.0,70.0,1.0
2026-09-20,20.0,0.0,65.0,1.0
2026-09-21,41.0,0.0,86.0,1.0
