date,forecast,lower_80,upper_80
2026-06-24,1815.0,1426.0,2204.0
2026-06-25,1403.0,988.0,1819.0
2026-06-26,1028.0,587.0,1469.0
2026-06-27,1045.0,580.0,1510.0
2026-06-28,1226.0,738.0,1713.0
2026-06-29,1163.0,654.0,1673.0
2026-06-30,1439.0,909.0,1969.0
2026-07-01,1561.0,1010.0,2111.0
2026-07-02,1149.0,580.0,1719.0
2026-07-03,774.0,186.0,1362.0
2026-07-04,791.0,185.0,1397.0
2026-07-05,971.0,348.0,1595.0
2026-07-06,909.0,268.0,1550.0
2026-07-07,1185.0,527.0,1842.0
2026-07-08,1307.0,633.0,1980.0
2026-07-09,895.0,206.0,1585.0
2026-07-10,520.0,0.0,1225.0
2026-07-11,537.0,0.0,1257.0
2026-07-12,717.0,0.0,1453.0
2026-07-13,655.0,0.0,1405.0
2026-07-14,931.0,167.0,1695.0
2026-07-15,1052.0,274.0,1831.0
2026-07-16,641.0,0.0,1433.0
2026-07-17,266.0,0.0,1071.0
2026-07-18,283.0,0.0,1101.0
2026-07-19,463.0,0.0,1295.0
2026-07-20,401.0,0.0,1246.0
2026-07-21,677.0,0.0,1534.0
2026-07-22,798.0,0.0,1668.0
2026-07-23,387.0,0.0,1269.0
