date,forecast,lower_80,upper_80
2026-06-24,444.0,374.0,515.0
2026-06-25,415.0,340.0,490.0
2026-06-26,385.0,306.0,465.0
2026-06-27,279.0,195.0,363.0
2026-06-28,361.0,273.0,449.0
2026-06-29,433.0,341.0,525.0
2026-06-30,431.0,336.0,527.0
2026-07-01,444.0,345.0,544.0
2026-07-02,415.0,313.0,518.0
2026-07-03,385.0,279.0,491.0
2026-07-04,279.0,170.0,388.0
2026-07-05,361.0,248.0,473.0
2026-07-06,433.0,317.0,549.0
2026-07-07,431.0,313.0,550.0
2026-07-08,444.0,323.0,566.0
2026-07-09,415.0,291.0,540.0
2026-07-10,385.0,258.0,513.0
2026-07-11,279.0,149.0,409.0
2026-07-12,361.0,228.0,493.0
2026-07-13,433.0,298.0,568.0
2026-07-14,431.0,293.0,569.0
2026-07-15,444.0,304.0,585.0
2026-07-16,415.0,272.0,558.0
2026-07-17,385.0,240.0,531.0
2026-07-18,279.0,131.0,427.0
2026-07-19,361.0,211.0,511.0
2026-07-20,433.0,281.0,586.0
2026-07-21,431.0,277.0,586.0
2026-07-22,444.0,287.0,601.0
2026-07-23,415.0,256.0,575.0
