date,forecast,lower_80,upper_80,event_factor
2026-06-24,2000.0,1661.0,2338.0,1.0
2026-06-25,1947.0,1585.0,2309.0,1.0
2026-06-26,2047.0,1664.0,2431.0,1.0
2026-06-27,1683.0,1279.0,2088.0,1.0
2026-06-28,1351.0,926.0,1775.0,1.0
2026-06-29,2021.0,1578.0,2464.0,1.0
2026-06-30,2014.0,1552.0,2475.0,1.0
2026-07-01,2008.0,1530.0,2487.0,1.0
2026-07-02,1955.0,1460.0,2451.0,1.0
2026-07-03,2056.0,1545.0,2568.0,1.0
2026-07-04,1691.0,1163.0,2218.0,1.0
2026-07-05,1357.0,814.0,1899.0,1.0
2026-07-06,2030.0,1472.0,2588.0,1.0
2026-07-07,2023.0,1450.0,2595.0,1.0
2026-07-08,2017.0,1431.0,2603.0,1.0
2026-07-09,1964.0,1364.0,2564.0,1.0
2026-07-10,2065.0,1452.0,2679.0,1.0
2026-07-11,1698.0,1071.0,2325.0,1.0
2026-07-12,1363.0,723.0,2002.0,1.0
2026-07-13,2039.0,1387.0,2691.0,1.0
2026-07-14,2031.0,1367.0,2696.0,1.0
2026-07-15,2836.0,1889.0,3784.0,1.4
2026-07-16,2762.0,1797.0,3726.0,1.4
2026-07-17,2904.0,1923.0,3885.0,1.4
2026-07-18,2388.0,1391.0,3385.0,1.4
2026-07-19,1916.0,903.0,2929.0,1.4
2026-07-20,2867.0,1838.0,3896.0,1.4
2026-07-21,2856.0,1812.0,3901.0,1.4
2026-07-22,2849.0,1789.0,3908.0,1.4
2026-07-23,2774.0,1699.0,3848.0,1.4
2026-07-24,2917.0,1828.0,4006.0,1.4
2026-07-25,2398.0,1294.0,3502.0,1.4
2026-07-26,1375.0,576.0,2173.0,1.0
2026-07-27,2057.0,1248.0,2866.0,1.0
2026-07-28,2049.0,1230.0,2868.0,1.0
2026-07-29,2044.0,1215.0,2873.0,1.0
2026-07-30,1990.0,1151.0,2829.0,1.0
2026-07-31,2093.0,1244.0,2941.0,1.0
2026-08-01,1721.0,862.0,2579.0,1.0
2026-08-02,1381.0,513.0,2248.0,1.0
2026-08-03,2066.0,1189.0,2943.0,1.0
2026-08-04,2058.0,1172.0,2945.0,1.0
2026-08-05,2053.0,1157.0,2948.0,1.0
2026-08-06,1999.0,1094.0,2903.0,1.0
2026-08-07,2102.0,1188.0,3016.0,1.0
2026-08-08,1728.0,806.0,2651.0,1.0
2026-08-09,1387.0,455.0,2318.0,1.0
2026-08-10,2075.0,1135.0,3015.0,1.0
2026-08-11,2067.0,1119.0,3016.0,1.0
2026-08-12,2062.0,1104.0,3019.0,1.0
2026-08-13,2007.0,1042.0,2973.0,1.0
2026-08-14,2111.0,1137.0,3085.0,1.0
2026-08-15,1736.0,753.0,2718.0,1.0
2026-08-16,1393.0,402.0,2384.0,1.0
2026-08-17,2084.0,1085.0,3083.0,1.0
2026-08-18,2076.0,1069.0,3084.0,1.0
2026-08-19,2071.0,1055.0,3086.0,1.0
2026-08-20,2016.0,993.0,3040.0,1.0
2026-08-21,2120.0,1089.0,3152.0,1.0
2026-08-22,1743.0,704.0,2783.0,1.0
2026-08-23,1399.0,352.0,2446.0,1.0
2026-08-24,2093.0,1038.0,3148.0,1.0
2026-08-25,2085.0,1023.0,3148.0,1.0
2026-08-26,2080.0,1010.0,3150.0,1.0
2026-08-27,2025.0,947.0,3103.0,1.0
2026-08-28,2130.0,1044.0,3215.0,1.0
2026-08-29,1751.0,658.0,2844.0,1.0
2026-08-30,1405.0,305.0,2505.0,1.0
2026-08-31,2102.0,995.0,3210.0,1.0
2026-09-01,2095.0,979.0,3210.0,1.0
2026-09-02,2089.0,967.0,3212.0,1.0
2026-09-03,2034.0,904.0,3164.0,1.0
2026-09-04,2139.0,1002.0,3276.0,1.0
2026-09-05,1759.0,614.0,2903.0,1.0
2026-09-06,1411.0,260.0,2563.0,1.0
2026-09-07,2112.0,953.0,3270.0,1.0
2026-09-08,2104.0,938.0,3269.0,1.0
2026-09-09,2098.0,926.0,3271.0,1.0
2026-09-10,2043.0,863.0,3222.0,1.0
2026-09-11,2149.0,962.0,3335.0,1.0
2026-09-12,1766.0,573.0,2960.0,1.0
2026-09-13,1417.0,217.0,2617.0,1.0
2026-09-14,2121.0,914.0,3328.0,1.0
2026-09-15,2113.0,899.0,3327.0,1.0
2026-09-16,2107.0,887.0,3328.0,1.0
2026-09-17,2052.0,825.0,3279.0,1.0
2026-09-18,2158.0,924.0,3392.0,1.0
2026-09-19,1774.0,534.0,3014.0,1.0
2026-09-20,1424.0,177.0,2670.0,1.0
2026-09-21,2130.0,877.0,3384.0,1.0
